Label,ImageSource
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\S133_003_01172926.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\006_di_000_0029.jpg
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\007_di_001_0025.jpg
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\013_di_001_0024.jpg
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\015_di_001_0016.jpg
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\016_di_000_0030.jpg
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\017_di_001_0036.jpg
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\018_di_003_0016.jpg
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\019_di_001_0021.jpg
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\020_di_002_0025.jpg
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\021_di_000_0024.jpg
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\021_di_000_0029.jpg
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\025_di_001_0035.jpg
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\026_di_003_0022.jpg
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\027_di_002_0027.jpg
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\029_di_002_0010.jpg
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\084_di_003_0017.jpg
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\085_di_003_0027.jpg
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S044_006_00043812.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S045_004_00154022.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S046_004_00021111.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S055_003_01064100.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S056_002_01170628.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S057_003_01270124.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S059_003_00122326.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S074_004_00221625.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S076_005_00014216.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S077_006_00095507.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S079_002_00110809.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S082_007_00091601.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S087_004_00015302.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S088_004_00114308.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S095_006_00093019.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S096_003_00174923.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S097_004_00263808.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S098_003_00345006.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S105_008_00345813.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S106_004_00454810.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S107_005_01012216.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S108_006_01111523.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S109_005_01203525.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S111_007_01370420.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S116_006_02240709.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S118_006_02444718.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S124_006_00113601.png
disgust,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\disgust\S132_005_01095412.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\006_fe_001_0024.jpg
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\008_fe_000_0020.jpg
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\009_fe_000_0032.jpg
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\010_fe_001_0023.jpg
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\013_fe_001_0040.jpg
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\014_fe_000_0016.jpg
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\015_fe_001_0016.jpg
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\018_fe_000_0016.jpg
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\019_fe_001_0015.jpg
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\020_fe_001_0019.jpg
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\025_fe_001_0036.jpg
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\027_fe_002_0010.jpg
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\029_fe_001_0023.jpg
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\030_fe_001_0018.jpg
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\084_fe_001_0033.jpg
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\087_fe_003_0127.jpg
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S057_004_01271222.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S062_001_00130001.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S066_001_00232903.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S067_003_00021006.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S072_001_00004520.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S074_001_00222229.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S075_007_00324805.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S076_004_00002524.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S079_003_00111429.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S082_004_00081805.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S084_002_00262416.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S088_002_00114824.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S091_001_00112110.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S098_002_00335126.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S103_007_00110129.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S105_005_00335112.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S108_003_01101101.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S111_004_01361409.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S112_003_01441403.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S113_002_01545817.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S115_003_02125524.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S117_005_02321800.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S119_001_02565114.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S119_006_02551627.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S124_003_00120502.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S125_004_00183802.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S131_004_01011502.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S136_004_01375509.png
fear,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\fear\S137_004_01442816.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\006_ha_004_0028.jpg
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\007_ha_002_0025.jpg
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\008_ha_002_0020.jpg
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\009_ha_004_0017.jpg
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\013_ha_002_0025.jpg
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\014_ha_002_0023.jpg
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\015_ha_000_0018.jpg
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\016_ha_004_0037.jpg
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\017_ha_002_0028.jpg
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\018_ha_002_0025.jpg
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\019_ha_002_0035.jpg
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\021_ha_002_0026.jpg
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\025_ha_001_0026.jpg
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\026_ha_002_0017.jpg
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\027_ha_002_0015.jpg
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\028_ha_000_0020.jpg
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\029_ha_001_0022.jpg
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S052_004_00115725.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S055_005_01065524.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S057_006_01271617.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S058_002_00021112.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S060_002_00210518.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S061_002_00020609.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S062_004_00130318.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S063_002_00224605.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S064_003_00012828.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S065_004_00124909.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S067_005_00021304.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S068_002_00115615.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S073_002_00121317.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S074_005_00222629.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S075_006_00325106.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S076_006_00015005.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S077_002_00101009.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S080_002_00215624.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S081_005_00015402.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S085_002_00020204.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S089_002_00222221.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S094_004_00011629.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S096_004_00175811.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S101_004_01020325.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S105_003_00350709.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S106_006_00455712.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S112_004_01442807.png
joy,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\joy\S114_006_02045929.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\006_ne_001_0010.jpg
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\007_ne_001_0020.jpg
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\008_ne_000_0001.jpg
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\009_ne_000_0011.jpg
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\010_ne_001_0011.jpg
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\014_ne_002_0004.jpg
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\016_ne_001_0000.jpg
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\018_ne_000_0000.jpg
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\019_ne_000_0000.jpg
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\020_ne_000_0000.jpg
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\021_ne_000_0000.jpg
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\025_ne_000_0000.jpg
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\026_ne_000_0000.jpg
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\029_ne_000_0000.jpg
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\030_ne_000_0048.jpg
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\084_ne_000_0022.jpg
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\085_ne_000_0000.jpg
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S065_001_00125725.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S066_001_00232825.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S067_001_00021827.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S071_001_00241519.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S075_001_00332215.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S076_001_00014428.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S077_001_00100208.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S078_001_00014617.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S080_001_00214920.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S081_001_00014504.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S084_001_00261115.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S086_001_00114613.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S098_001_00350616.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S099_001_00434910.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S100_004_00523127.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S101_001_01020007.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S102_001_00012801.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S105_001_00342915.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S106_001_00455104.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S107_001_01012522.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S109_001_01193416.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S113_001_01545508.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S114_001_02045221.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S132_001_01092214.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S133_001_01161622.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S134_001_01232704.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S135_003_01314423.png
neutral,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\neutral\S138_001_01515104.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\006_sa_001_0021.jpg
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\007_sa_002_0023.jpg
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\008_sa_002_0016.jpg
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\009_sa_000_0019.jpg
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\010_sa_003_0010.jpg
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\015_sa_000_0032.jpg
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\016_sa_001_0014.jpg
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\019_sa_002_0014.jpg
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\020_sa_002_0052.jpg
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\027_an_002_0022.jpg
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\029_sa_000_0016.jpg
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\030_sa_000_0018.jpg
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\084_sa_000_0039.jpg
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S045_002_00160516.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S046_001_00022829.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S052_002_00120316.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S056_001_01175102.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S057_002_01273712.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S058_003_00022122.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S060_001_00211723.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S062_003_00131127.jpg
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S065_001_00125812.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S069_001_00014701.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S076_002_00005802.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S077_003_00092612.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S087_002_00021711.jpg
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S093_001_00113608.jpg
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S098_001_00350705.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S105_001_00342928.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S107_006_01014529.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S108_002_01103905.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S108_005_01113314.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S113_005_01534221.jpg
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S114_003_02050506.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S115_004_02134906.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S115_006_02124926.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S116_005_02242424.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S117_002_02334810.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S118_003_02441603.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S119_004_02555106.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S122_003_03161700.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S122_004_03170919.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S124_002_00123217.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S125_003_00191206.png
sadness,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\sadness\S133_004_01173820.png
surprise,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\surprise\006_su_001_0018.jpg
surprise,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\surprise\007_su_001_0027.jpg
surprise,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\surprise\008_su_001_0014.jpg
surprise,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\surprise\009_su_002_0065.jpg
